id_proveedor,nombre,contacto,telefono,email
1,Grupo Núcleo S.A.,Joaquin Alvarez,+54 15 2788 5160,contacto@grupo.com.ar
2,Air Computers S.A.,Malena Rodriguez Sanchez,+54 9 3196 6416,contacto@air.com.ar
3,Stylus S.A.,Joaquin Abigail Medina Ledesma,+54 9 3716 1369,contacto@stylus.com.ar
4,Elit S.A.,Sr(a). Camila Sanchez,+54 9 3935 2181,contacto@elit.com.ar
5,Intermaco S.A.,Sr(a). Mia Morena Sosa,+54 15 2331 2432,contacto@intermaco.com.ar
6,Solution Box S.A.,Joaquin Ramos Aguirre,+54 9 3299 5527,contacto@solution.com.ar
7,Pc Arts S.A.,Simon Sanchez,+54 9 3890 5814,contacto@pc.com.ar
8,Invid S.A.,Martina Torres,+54 9 3811 9986,contacto@invid.com.ar
9,Masnet S.A.,Sr(a). Tomàs Correa,+54 15 2859 7820,contacto@masnet.com.ar
10,Correa LLC Arg,Juan Bautista Lopez Martinez,+54 9 3678 8925,contacto@correa.com.ar
11,Alvarez-Ramos Arg,Sr(a). Francesco Moreno,+54 15 2351 8644,contacto@alvarez-ramos.com.ar
12,Rodriguez-Dominguez Arg,Josefina Ambar Dominguez Fernandez,+54 15 2248 6528,contacto@rodriguez-dominguez.com.ar
13,"Carrizo, Gimenez and Gonzalez Arg",Joaquin Delfina Duarte Suarez,+54 15 2922 1418,"contacto@carrizo,.com.ar"
14,"Cruz, Gonzalez and Romero Arg",Sr(a). Matias Fernandez,+54 15 2492 7065,"contacto@cruz,.com.ar"
15,Cabrera-Cardozo Arg,Francisco Martinez,+54 9 3735 9774,contacto@cabrera-cardozo.com.ar
16,"Pereyra, Martin and Maldonado Arg",Sr(a). Francisca Rodriguez,+54 9 3258 1814,"contacto@pereyra,.com.ar"
17,Perez PLC Arg,Ludmila Catalina Bustos,+54 9 3650 6068,contacto@perez.com.ar
18,Alvarez Inc Arg,Francisco Juan Cruz Gomez Vera,+54 9 3822 0472,contacto@alvarez.com.ar
19,Cabrera-Barrios Arg,Valentina Miranda Molina,+54 9 3414 3410,contacto@cabrera-barrios.com.ar
20,Godoy-Rios Arg,Santino Barrios Luna,+54 15 2189 3246,contacto@godoy-rios.com.ar
